model_name,file_id,example_index,focus,true_A,model_A,inf_correct,E_FOCUSID,E_INF
gemini-3.1-pro-preview,f6,9,1,B,C,0,False,False
gemini-3.1-pro-preview,f7,0,2,C,C,1,True,True
gemini-3.1-pro-preview,f7,1,1,C,C,1,True,True
gemini-3.1-pro-preview,f7,2,2,B,B,1,True,True
gemini-3.1-pro-preview,f7,3,1,B,B,1,True,True
gemini-3.1-pro-preview,f7,4,1,B,B,1,True,True
gemini-3.1-pro-preview,f7,5,1,B,A,0,False,False
gemini-3.1-pro-preview,f7,6,1,A,A,1,True,True
gemini-3.1-pro-preview,f7,7,1,A,A,1,True,True
gemini-3.1-pro-preview,f7,8,2,B,B,1,True,True
gemini-3.1-pro-preview,f7,9,2,B,B,1,True,True
gemini-3.1-pro-preview,f8,0,2,B,B,1,True,True
gemini-3.1-pro-preview,f8,1,1,B,B,1,True,False
gemini-3.1-pro-preview,f8,2,1,C,C,1,True,True
gemini-3.1-pro-preview,f8,3,2,C,C,1,True,True
gemini-3.1-pro-preview,f8,4,2,B,B,1,True,True
gemini-3.1-pro-preview,f8,5,2,A,A,1,True,True
gemini-3.1-pro-preview,f8,6,2,B,A,0,False,False
gemini-3.1-pro-preview,f8,7,2,B,C,0,False,False
gemini-3.1-pro-preview,f8,8,2,B,A,0,False,False
gemini-3.1-pro-preview,f8,9,2,B,A,0,False,False
gemini-3.1-pro-preview,f9,0,1,B,B,1,True,True
gemini-3.1-pro-preview,f9,1,1,B,B,1,True,True
gemini-3.1-pro-preview,f9,2,1,B,B,1,True,True
gemini-3.1-pro-preview,f9,3,1,B,B,1,True,True
gemini-3.1-pro-preview,f9,4,2,A,A,1,True,True
gemini-3.1-pro-preview,f9,5,2,B,B,1,True,True
gemini-3.1-pro-preview,f9,6,1,C,C,1,True,True
gemini-3.1-pro-preview,f9,7,2,A,A,1,True,True
gemini-3.1-pro-preview,f9,8,2,B,B,1,True,True
gemini-3.1-pro-preview,f9,9,2,C,C,1,True,True
gemini-3.1-pro-preview,f10,0,2,C,C,1,True,True
gemini-3.1-pro-preview,f10,1,2,B,B,1,True,True
gemini-3.1-pro-preview,f10,2,1,B,B,1,True,True
gemini-3.1-pro-preview,f10,3,1,A,A,1,True,True
gemini-3.1-pro-preview,f10,4,1,B,B,1,True,True
gemini-3.1-pro-preview,f10,5,2,A,A,1,True,True
gemini-3.1-pro-preview,f10,6,1,C,C,1,True,True
gemini-3.1-pro-preview,f10,7,1,A,A,1,True,True
gemini-3.1-pro-preview,f10,8,1,B,B,1,True,False
gemini-3.1-pro-preview,f10,9,1,A,A,1,True,True
gemini-3.1-pro-preview,f11,0,1,A,A,1,True,True
gemini-3.1-pro-preview,f11,1,1,A,A,1,True,True
gemini-3.1-pro-preview,f11,2,1,A,A,1,True,True
gemini-3.1-pro-preview,f11,3,1,B,B,1,True,True
gemini-3.1-pro-preview,f11,4,1,B,B,1,True,True
gemini-3.1-pro-preview,f11,5,1,B,B,1,True,True
gemini-3.1-pro-preview,f11,6,1,C,C,1,True,True
gemini-3.1-pro-preview,f11,7,1,C,C,1,True,True
gemini-3.1-pro-preview,f11,8,1,C,C,1,True,True
gemini-3.1-pro-preview,f11,9,1,C,C,1,True,True
gemini-3.1-pro-preview,f12,0,1,B,B,1,True,True
gemini-3.1-pro-preview,f12,1,1,B,B,1,True,True
gemini-3.1-pro-preview,f12,2,1,B,B,1,True,True
gemini-3.1-pro-preview,f12,3,2,B,A,0,False,False
gemini-3.1-pro-preview,f12,4,2,B,A,0,False,False
gemini-3.1-pro-preview,f12,5,2,B,A,0,False,False
gemini-3.1-pro-preview,f12,6,2,B,A,0,False,False
gemini-3.1-pro-preview,f12,7,2,A,A,1,True,True
gemini-3.1-pro-preview,f12,8,2,A,A,1,True,True
gemini-3.1-pro-preview,f12,9,2,A,A,1,True,True
gemini-3.1-pro-preview,f13,0,2,B,C,0,False,False
gemini-3.1-pro-preview,f13,1,2,B,C,0,False,False
gemini-3.1-pro-preview,f13,2,2,B,C,0,False,False
gemini-3.1-pro-preview,f13,3,2,B,C,0,False,False
gemini-3.1-pro-preview,f13,4,2,C,C,1,True,True
gemini-3.1-pro-preview,f13,5,2,C,C,1,True,True
gemini-3.1-pro-preview,f13,6,2,C,C,1,True,True
gemini-3.1-pro-preview,f13,7,2,C,C,1,True,True
gemini-2.5-flash,f1,0,1,C,C,1,True,True
gemini-2.5-flash,f1,1,1,C,C,1,True,True
gemini-2.5-flash,f1,2,1,A,A,1,True,True
gemini-2.5-flash,f1,3,1,B,B,1,False,False
gemini-2.5-flash,f1,4,2,C,C,1,True,True
gemini-2.5-flash,f1,5,1,A,A,1,True,True
gemini-2.5-flash,f1,6,2,B,B,1,True,True
gemini-2.5-flash,f1,7,1,B,A,0,False,False
gemini-2.5-flash,f1,8,2,C,C,1,True,True
gemini-2.5-flash,f1,9,2,B,B,1,True,True
gemini-2.5-flash,f2,0,1,A,B,0,True,False
gemini-2.5-flash,f2,1,1,B,B,1,True,True
gemini-2.5-flash,f2,2,1,B,B,1,True,True
gemini-2.5-flash,f2,3,1,A,A,1,True,True
gemini-2.5-flash,f2,4,2,A,A,1,True,True
gemini-2.5-flash,f2,5,1,B,B,1,True,True
gemini-2.5-flash,f2,6,2,A,A,1,True,True
gemini-2.5-flash,f2,7,1,B,C,0,False,False
gemini-2.5-flash,f2,8,1,B,B,1,True,True
gemini-2.5-flash,f2,9,1,C,C,1,True,True
gemini-2.5-flash,f3,0,1,A,A,1,True,True
gemini-2.5-flash,f3,1,2,A,C,0,False,False
gemini-2.5-flash,f3,2,2,B,C,0,False,False
gemini-2.5-flash,f3,3,2,B,C,0,False,False
gemini-2.5-flash,f3,4,2,B,A,0,False,False
gemini-2.5-flash,f3,5,2,B,A,0,False,False
gemini-2.5-flash,f3,6,1,B,B,1,True,False
gemini-2.5-flash,f3,7,1,B,B,1,True,False
gemini-2.5-flash,f3,8,1,A,A,1,True,True
gemini-2.5-flash,f3,9,2,B,C,0,False,False
gemini-2.5-flash,f4,0,1,C,C,1,True,True
gemini-2.5-flash,f4,1,2,B,B,1,True,True
gemini-2.5-flash,f4,2,1,C,C,1,True,True
gemini-2.5-flash,f4,3,2,B,B,1,True,True
gemini-2.5-flash,f4,4,1,B,B,1,True,False
gemini-2.5-flash,f4,5,2,A,A,1,True,True
gemini-2.5-flash,f4,6,2,A,A,1,True,True
gemini-2.5-flash,f4,7,2,B,B,1,True,True
gemini-2.5-flash,f4,8,1,A,A,1,True,True
gemini-2.5-flash,f4,9,2,A,A,1,True,True
gemini-2.5-flash,f5,0,2,C,C,1,True,True
gemini-2.5-flash,f5,1,1,C,C,1,True,True
gemini-2.5-flash,f5,2,1,B,A,0,True,False
gemini-2.5-flash,f5,3,1,C,C,1,True,True
gemini-2.5-flash,f5,4,2,B,B,1,True,True
gemini-2.5-flash,f5,5,2,C,C,1,True,True
gemini-2.5-flash,f5,6,1,C,C,1,True,True
gemini-2.5-flash,f5,7,2,C,C,1,False,True
gemini-2.5-flash,f5,8,2,C,C,1,True,True
gemini-2.5-flash,f5,9,2,A,A,1,True,True
gemini-2.5-flash,f6,0,1,A,B,0,False,False
gemini-2.5-flash,f6,1,1,B,C,0,False,False
gemini-2.5-flash,f6,2,1,B,A,0,True,False
gemini-2.5-flash,f6,3,2,B,B,1,True,True
gemini-2.5-flash,f6,4,2,C,C,1,True,True
gemini-2.5-flash,f6,5,2,A,A,1,True,True
gemini-2.5-flash,f6,6,2,A,A,1,True,True
gemini-2.5-flash,f6,7,1,B,A,0,False,False
gemini-2.5-flash,f6,8,2,C,C,1,True,True
gemini-2.5-flash,f6,9,1,B,C,0,False,False
gemini-2.5-flash,f7,0,2,C,C,1,True,True
gemini-2.5-flash,f7,1,1,C,C,1,True,True
gemini-2.5-flash,f7,2,2,B,B,1,True,True
gemini-2.5-flash,f7,3,1,B,B,1,True,False
gemini-2.5-flash,f7,4,1,B,B,1,True,False
gemini-2.5-flash,f7,5,1,B,B,1,True,False
gemini-2.5-flash,f7,6,1,A,A,1,True,True
gemini-2.5-flash,f7,7,1,A,A,1,True,True
gemini-2.5-flash,f7,8,2,B,B,1,True,True
gemini-2.5-flash,f7,9,2,B,B,1,True,True
gemini-2.5-flash,f8,0,2,B,A,0,True,False
gemini-2.5-flash,f8,1,1,B,A,0,False,False
gemini-2.5-flash,f8,2,1,C,A,0,False,False
gemini-2.5-flash,f8,3,2,C,A,0,False,False
gemini-2.5-flash,f8,4,2,B,A,0,True,True
gemini-2.5-flash,f8,5,2,A,A,1,True,True
gemini-2.5-flash,f8,6,2,B,A,0,False,False
gemini-2.5-flash,f8,7,2,B,A,0,True,True
gemini-2.5-flash,f8,8,2,B,A,0,False,False
gemini-2.5-flash,f8,9,2,B,A,0,False,False
gemini-2.5-flash,f9,0,1,B,B,1,True,False
gemini-2.5-flash,f9,1,1,B,B,1,True,True
gemini-2.5-flash,f9,2,1,B,B,1,True,False
gemini-2.5-flash,f9,3,1,B,B,1,True,True
gemini-2.5-flash,f9,4,2,A,B,0,False,False
gemini-2.5-flash,f9,5,2,B,C,0,False,False
gemini-2.5-flash,f9,6,1,C,C,1,True,True
gemini-2.5-flash,f9,7,2,A,B,0,False,False
gemini-2.5-flash,f9,8,2,B,C,0,False,False
gemini-2.5-flash,f9,9,2,C,B,0,True,False
gemini-2.5-flash,f10,0,2,C,C,1,True,True
gemini-2.5-flash,f10,1,2,B,B,1,True,True
gemini-2.5-flash,f10,2,1,B,C,0,True,False
gemini-2.5-flash,f10,3,1,A,B,0,True,False
gemini-2.5-flash,f10,4,1,B,C,0,True,False
gemini-2.5-flash,f10,5,2,A,A,1,True,True
gemini-2.5-flash,f10,6,1,C,B,0,True,False
gemini-2.5-flash,f10,7,1,A,A,1,True,True
gemini-2.5-flash,f10,8,1,B,C,0,True,False
gemini-2.5-flash,f10,9,1,A,B,0,True,False
gemini-2.5-flash,f11,0,1,A,A,1,True,True
gemini-2.5-flash,f11,1,1,A,A,1,True,True
gemini-2.5-flash,f11,2,1,A,A,1,True,True
gemini-2.5-flash,f11,3,1,B,B,1,False,False
gemini-2.5-flash,f11,4,1,B,B,1,False,False
gemini-2.5-flash,f11,5,1,B,B,1,False,False
gemini-2.5-flash,f11,6,1,C,C,1,True,True
gemini-2.5-flash,f11,7,1,C,C,1,True,True
gemini-2.5-flash,f11,8,1,C,C,1,True,True
gemini-2.5-flash,f11,9,1,C,C,1,True,True
gemini-2.5-flash,f12,0,1,B,C,0,False,False
gemini-2.5-flash,f12,1,1,B,B,1,True,False
gemini-2.5-flash,f12,2,1,B,B,1,True,False
gemini-2.5-flash,f12,3,2,B,B,1,True,True
gemini-2.5-flash,f12,4,2,B,B,1,True,True
gemini-2.5-flash,f12,5,2,B,B,1,True,True
gemini-2.5-flash,f12,6,2,B,B,1,True,True
gemini-2.5-flash,f12,7,2,A,A,1,True,True
gemini-2.5-flash,f12,8,2,A,A,1,True,True
gemini-2.5-flash,f12,9,2,A,A,1,True,True
gemini-2.5-flash,f13,0,2,B,C,0,False,False
gemini-2.5-flash,f13,1,2,B,C,0,False,False
gemini-2.5-flash,f13,2,2,B,C,0,False,False
gemini-2.5-flash,f13,3,2,B,C,0,False,False
gemini-2.5-flash,f13,4,2,C,C,1,True,True
gemini-2.5-flash,f13,5,2,C,C,1,True,True
gemini-2.5-flash,f13,6,2,C,C,1,False,True
gemini-2.5-flash,f13,7,2,C,C,1,False,True
gpt-4o-audio-preview,f1,0,1,C,B,0,False,False
gpt-4o-audio-preview,f1,1,1,C,C,1,True,True
gpt-4o-audio-preview,f1,2,1,A,A,1,True,True
gpt-4o-audio-preview,f1,3,1,B,A,0,True,False
gpt-4o-audio-preview,f1,4,2,C,C,1,True,True
gpt-4o-audio-preview,f1,5,1,A,A,1,True,True
gpt-4o-audio-preview,f1,6,2,B,B,1,False,False
gpt-4o-audio-preview,f1,7,1,B,A,0,True,False
gpt-4o-audio-preview,f1,8,2,C,A,0,True,False
gpt-4o-audio-preview,f1,9,2,B,A,0,False,True
gpt-4o-audio-preview,f2,0,1,A,B,0,True,False
gpt-4o-audio-preview,f2,1,1,B,B,1,True,False
gpt-4o-audio-preview,f2,2,1,B,C,0,True,False
gpt-4o-audio-preview,f2,3,1,A,A,1,False,False
gpt-4o-audio-preview,f2,4,2,A,A,1,False,False
gpt-4o-audio-preview,f2,5,1,B,C,0,False,False
gpt-4o-audio-preview,f2,6,2,A,C,0,False,False
gpt-4o-audio-preview,f2,7,1,B,A,0,False,False
gpt-4o-audio-preview,f2,8,1,B,C,0,False,False
gpt-4o-audio-preview,f2,9,1,C,C,1,False,False
gpt-4o-audio-preview,f3,0,1,A,C,0,True,False
gpt-4o-audio-preview,f3,1,2,A,C,0,False,False
gpt-4o-audio-preview,f3,2,2,B,C,0,False,False
gpt-4o-audio-preview,f3,3,2,B,C,0,False,False
gpt-4o-audio-preview,f3,4,2,B,A,0,False,False
gpt-4o-audio-preview,f3,5,2,B,A,0,False,False
gpt-4o-audio-preview,f3,6,1,B,C,0,False,False
gpt-4o-audio-preview,f3,7,1,B,B,1,False,False
gpt-4o-audio-preview,f3,8,1,A,A,1,True,True
gpt-4o-audio-preview,f3,9,2,B,B,1,True,False
gpt-4o-audio-preview,f4,0,1,C,B,0,True,False
gpt-4o-audio-preview,f4,1,2,B,B,1,False,True
gpt-4o-audio-preview,f4,2,1,C,B,0,True,False
gpt-4o-audio-preview,f4,3,2,B,A,0,False,False
gpt-4o-audio-preview,f4,4,1,B,C,0,True,False
gpt-4o-audio-preview,f4,5,2,A,A,1,False,False
gpt-4o-audio-preview,f4,6,2,A,A,1,True,True
gpt-4o-audio-preview,f4,7,2,B,A,0,False,False
gpt-4o-audio-preview,f4,8,1,A,A,1,True,True
gpt-4o-audio-preview,f4,9,2,A,A,1,False,True
gpt-4o-audio-preview,f5,0,2,C,C,1,True,True
gpt-4o-audio-preview,f5,1,1,C,B,0,True,False
gpt-4o-audio-preview,f5,2,1,B,C,0,False,False
gpt-4o-audio-preview,f5,3,1,C,B,0,True,False
gpt-4o-audio-preview,f5,4,2,B,A,0,False,False
gpt-4o-audio-preview,f5,5,2,C,B,0,True,False
gpt-4o-audio-preview,f5,6,1,C,B,0,True,False
gpt-4o-audio-preview,f5,7,2,C,B,0,False,False
gpt-4o-audio-preview,f5,8,2,C,B,0,False,False
gpt-4o-audio-preview,f5,9,2,A,A,1,True,True
gpt-4o-audio-preview,f6,0,1,A,A,1,True,True
gpt-4o-audio-preview,f6,1,1,B,C,0,False,False
gpt-4o-audio-preview,f6,2,1,B,A,0,False,False
gpt-4o-audio-preview,f6,3,2,B,B,1,False,False
gpt-4o-audio-preview,f6,4,2,C,B,0,False,False
gpt-4o-audio-preview,f6,5,2,A,C,0,True,False
gpt-4o-audio-preview,f6,6,2,A,A,1,True,True
gpt-4o-audio-preview,f6,7,1,B,A,0,False,False
gpt-4o-audio-preview,f6,8,2,C,B,0,False,False
gpt-4o-audio-preview,f6,9,1,B,B,1,False,False
gpt-4o-audio-preview,f7,0,2,C,C,1,True,True
gpt-4o-audio-preview,f7,1,1,C,C,1,True,True
gpt-4o-audio-preview,f7,2,2,B,C,0,False,False
gpt-4o-audio-preview,f7,3,1,B,A,0,False,False
gpt-4o-audio-preview,f7,4,1,B,A,0,False,False
gpt-4o-audio-preview,f7,5,1,B,A,0,True,False
gpt-4o-audio-preview,f7,6,1,A,A,1,False,False
gpt-4o-audio-preview,f7,7,1,A,A,1,False,False
gpt-4o-audio-preview,f7,8,2,B,C,0,False,False
gpt-4o-audio-preview,f7,9,2,B,A,0,True,False
gpt-4o-audio-preview,f8,0,2,B,B,1,False,False
gpt-4o-audio-preview,f8,1,1,B,C,0,False,False
gpt-4o-audio-preview,f8,2,1,C,B,0,True,False
gpt-4o-audio-preview,f8,3,2,C,C,1,True,True
gpt-4o-audio-preview,f8,4,2,B,B,1,False,False
gpt-4o-audio-preview,f8,5,2,A,C,0,True,False
gpt-4o-audio-preview,f8,6,2,B,C,0,False,True
gpt-4o-audio-preview,f8,7,2,B,C,0,False,False
gpt-4o-audio-preview,f8,8,2,B,B,1,False,False
gpt-4o-audio-preview,f8,9,2,B,C,0,False,False
gpt-4o-audio-preview,f9,0,1,B,B,1,True,False
gpt-4o-audio-preview,f9,1,1,B,A,0,True,False
gpt-4o-audio-preview,f9,2,1,B,C,0,True,False
gpt-4o-audio-preview,f9,3,1,B,A,0,False,True
gpt-4o-audio-preview,f9,4,2,A,C,0,False,False
gpt-4o-audio-preview,f9,5,2,B,B,1,False,False
gpt-4o-audio-preview,f9,6,1,C,B,0,True,False
gpt-4o-audio-preview,f9,7,2,A,A,1,True,True
gpt-4o-audio-preview,f9,8,2,B,B,1,False,False
gpt-4o-audio-preview,f9,9,2,C,C,1,True,True
gpt-4o-audio-preview,f10,0,2,C,C,1,True,True
gpt-4o-audio-preview,f10,1,2,B,B,1,False,True
gpt-4o-audio-preview,f10,2,1,B,C,0,True,False
gpt-4o-audio-preview,f10,3,1,A,A,1,True,True
gpt-4o-audio-preview,f10,4,1,B,B,1,True,False
gpt-4o-audio-preview,f10,5,2,A,C,0,False,False
gpt-4o-audio-preview,f10,6,1,C,B,0,True,False
gpt-4o-audio-preview,f10,7,1,A,B,0,True,False
gpt-4o-audio-preview,f10,8,1,B,C,0,False,False
gpt-4o-audio-preview,f10,9,1,A,A,1,True,True
gpt-4o-audio-preview,f11,0,1,A,A,1,True,True
gpt-4o-audio-preview,f11,1,1,A,B,0,True,False
gpt-4o-audio-preview,f11,2,1,A,A,1,True,True
gpt-4o-audio-preview,f11,3,1,B,A,0,False,False
gpt-4o-audio-preview,f11,4,1,B,A,0,False,False
gpt-4o-audio-preview,f11,5,1,B,A,0,False,False
gpt-4o-audio-preview,f11,6,1,C,C,1,True,True
gpt-4o-audio-preview,f11,7,1,C,C,1,True,True
gpt-4o-audio-preview,f11,8,1,C,C,1,True,True
gpt-4o-audio-preview,f11,9,1,C,C,1,True,True
gpt-4o-audio-preview,f12,0,1,B,A,0,False,False
gpt-4o-audio-preview,f12,1,1,B,C,0,False,False
gpt-4o-audio-preview,f12,2,1,B,B,1,False,False
gpt-4o-audio-preview,f12,3,2,B,B,1,False,True
gpt-4o-audio-preview,f12,4,2,B,C,0,False,False
gpt-4o-audio-preview,f12,5,2,B,C,0,False,False
gpt-4o-audio-preview,f12,6,2,B,C,0,False,False
gpt-4o-audio-preview,f12,7,2,A,A,1,True,True
gpt-4o-audio-preview,f12,8,2,A,A,1,False,True
gpt-4o-audio-preview,f12,9,2,A,A,1,True,True
gpt-4o-audio-preview,f13,0,2,B,B,1,False,False
gpt-4o-audio-preview,f13,1,2,B,B,1,False,False
gpt-4o-audio-preview,f13,2,2,B,C,0,False,False
gpt-4o-audio-preview,f13,3,2,B,B,1,False,False
gpt-4o-audio-preview,f13,4,2,C,C,1,True,True
gpt-4o-audio-preview,f13,5,2,C,C,1,True,True
gpt-4o-audio-preview,f13,6,2,C,C,1,True,True
gpt-4o-audio-preview,f13,7,2,C,C,1,True,True
gpt-audio,f1,0,1,C,B,0,True,False
gpt-audio,f1,1,1,C,B,0,True,False
gpt-audio,f1,2,1,A,C,0,True,False
gpt-audio,f1,3,1,B,C,0,True,False
gpt-audio,f1,4,2,C,B,0,False,False
gpt-audio,f1,5,1,A,C,0,True,False
gpt-audio,f1,6,2,B,B,1,False,False
gpt-audio,f1,7,1,B,C,0,True,False
gpt-audio,f1,8,2,C,B,0,False,False
gpt-audio,f1,9,2,B,C,0,False,False
gpt-audio,f2,0,1,A,C,0,True,False
gpt-audio,f2,1,1,B,B,1,True,True
gpt-audio,f2,2,1,B,C,0,True,False
gpt-audio,f2,3,1,A,C,0,True,False
gpt-audio,f2,4,2,A,C,0,False,False
gpt-audio,f2,5,1,B,A,0,True,False
gpt-audio,f2,6,2,A,A,1,False,True
gpt-audio,f2,7,1,B,B,1,True,False
gpt-audio,f2,8,1,B,A,0,True,False
gpt-audio,f2,9,1,C,C,1,True,True
gpt-audio,f3,0,1,A,C,0,True,False
gpt-audio,f3,1,2,A,C,0,False,False
gpt-audio,f3,2,2,B,C,0,False,False
gpt-audio,f3,3,2,B,C,0,False,False
gpt-audio,f3,4,2,B,A,0,False,False
gpt-audio,f3,5,2,B,A,0,False,False
gpt-audio,f3,6,1,B,C,0,False,False
gpt-audio,f3,7,1,B,C,0,True,False
gpt-audio,f3,8,1,A,A,1,True,True
gpt-audio,f3,9,2,B,B,1,False,False
gpt-audio,f4,0,1,C,C,1,True,True
gpt-audio,f4,1,2,B,B,1,False,True
gpt-audio,f4,2,1,C,B,0,True,False
gpt-audio,f4,3,2,B,B,1,False,True
gpt-audio,f4,4,1,B,C,0,True,False
gpt-audio,f4,5,2,A,B,0,False,False
gpt-audio,f4,6,2,A,B,0,False,False
gpt-audio,f4,7,2,B,B,1,False,True
gpt-audio,f4,8,1,A,B,0,True,False
gpt-audio,f4,9,2,A,B,0,False,False
gpt-audio,f5,0,2,C,C,1,True,True
gpt-audio,f5,1,1,C,C,1,True,True
gpt-audio,f5,2,1,B,B,1,False,False
gpt-audio,f5,3,1,C,C,1,True,True
gpt-audio,f5,4,2,B,A,0,False,False
gpt-audio,f5,5,2,C,C,1,True,True
gpt-audio,f5,6,1,C,B,0,True,False
gpt-audio,f5,7,2,C,C,1,True,True
gpt-audio,f5,8,2,C,C,1,True,True
gpt-audio,f5,9,2,A,A,1,True,True
gpt-audio,f6,0,1,A,A,1,True,True
gpt-audio,f6,1,1,B,B,1,True,False
gpt-audio,f6,2,1,B,A,0,True,False
gpt-audio,f6,3,2,B,B,1,False,False
gpt-audio,f6,4,2,C,B,0,False,False
gpt-audio,f6,5,2,A,A,1,True,True
gpt-audio,f6,6,2,A,A,1,True,True
gpt-audio,f6,7,1,B,A,0,True,False
gpt-audio,f6,8,2,C,C,1,False,True
gpt-audio,f6,9,1,B,B,1,False,False
gpt-audio,f7,0,2,C,C,1,True,True
gpt-audio,f7,1,1,C,C,1,True,True
gpt-audio,f7,2,2,B,C,0,False,False
gpt-audio,f7,3,1,B,A,0,False,False
gpt-audio,f7,4,1,B,A,0,False,False
gpt-audio,f7,5,1,B,A,0,True,False
gpt-audio,f7,6,1,A,B,0,True,False
gpt-audio,f7,7,1,A,B,0,True,False
gpt-audio,f7,8,2,B,B,1,False,False
gpt-audio,f7,9,2,B,A,0,True,False
gpt-audio,f8,0,2,B,B,1,False,False
gpt-audio,f8,1,1,B,B,1,True,False
gpt-audio,f8,2,1,C,B,0,True,False
gpt-audio,f8,3,2,C,C,1,False,False
gpt-audio,f8,4,2,B,A,0,False,False
gpt-audio,f8,5,2,A,C,0,False,False
gpt-audio,f8,6,2,B,C,0,False,False
gpt-audio,f8,7,2,B,A,0,False,False
gpt-audio,f8,8,2,B,C,0,False,False
gpt-audio,f8,9,2,B,C,0,False,False
gpt-audio,f9,0,1,B,B,1,True,False
gpt-audio,f9,1,1,B,C,0,False,False
gpt-audio,f9,2,1,B,B,1,False,False
gpt-audio,f9,3,1,B,A,0,False,False
gpt-audio,f9,4,2,A,C,0,True,False
gpt-audio,f9,5,2,B,B,1,False,True
gpt-audio,f9,6,1,C,B,0,True,False
gpt-audio,f9,7,2,A,A,1,True,True
gpt-audio,f9,8,2,B,B,1,False,True
gpt-audio,f9,9,2,C,C,1,True,True
gpt-audio,f10,0,2,C,B,0,True,True
gpt-audio,f10,1,2,B,C,0,False,False
gpt-audio,f10,2,1,B,C,0,False,False
gpt-audio,f10,3,1,A,A,1,False,True
gpt-audio,f10,4,1,B,B,1,False,False
gpt-audio,f10,5,2,A,A,1,True,True
gpt-audio,f10,6,1,C,B,0,False,False
gpt-audio,f10,7,1,A,A,1,False,True
gpt-audio,f10,8,1,B,C,0,False,False
gpt-audio,f10,9,1,A,A,1,False,True
gpt-audio,f11,0,1,A,C,0,True,False
gpt-audio,f11,1,1,A,C,0,True,False
gpt-audio,f11,2,1,A,A,1,True,True
gpt-audio,f11,3,1,B,A,0,True,False
gpt-audio,f11,4,1,B,A,0,False,False
