source_row_index,Status,Progress,Duration (in seconds),Finished,DistributionChannel,UserLanguage,UV1,UV2,UV3,BC1,BC2,speaker,question_column,question_id,survey_order,sentence_1,choice_1_word,choice_2_word,response_numeric,response_word,solution_numeric,solution_word,is_correct
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns2_item4,ns2_item4,12,Sam only gave Tom apples.,Tom,apples,1,Tom,1,Tom,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns3_item5,ns3_item5,13,Sam only gave Tom bananas.,Tom,bananas,2,bananas,2,bananas,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns1_item6,ns1_item6,14,Sam only gave Rob oranges.,Rob,oranges,2,oranges,2,oranges,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns2_item1,ns2_item1,15,Sam only gave Ellen grapes.,Ellen,grapes,2,grapes,2,grapes,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns1_item2,ns1_item2,16,Sam only gave Rob grapes.,Rob,grapes,1,Rob,1,Rob,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns3_item6,ns3_item6,17,Sam only gave Sue apples.,Sue,apples,1,Sue,1,Sue,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns1_item4,ns1_item4,18,Sam only gave Ellen bananas.,Ellen,bananas,2,bananas,2,bananas,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns3_item3,ns3_item3,19,Sam only gave Mary grapes.,Mary,grapes,2,grapes,2,grapes,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns1_item7,ns1_item7,20,Sam only gave Tom apples.,Tom,apples,1,Tom,1,Tom,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns2_item0,ns2_item0,21,Sam only gave Bill grapes.,Bill,grapes,1,Bill,1,Bill,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns1_item0,ns1_item0,22,Sam only gave Bill grapes.,Bill,grapes,1,Bill,1,Bill,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns1_item3,ns1_item3,23,Sam only gave Tom oranges.,Tom,oranges,2,oranges,2,oranges,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns3_item4,ns3_item4,24,Sam only gave Ellen apples.,Ellen,apples,1,Ellen,1,Ellen,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns2_item7,ns2_item7,1,Sam only gave Ellen grapes.,Ellen,grapes,2,grapes,2,grapes,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns1_item5,ns1_item5,2,Sam only gave Ellen grapes.,Ellen,grapes,1,Ellen,1,Ellen,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns3_item2,ns3_item2,3,Sam only gave Sue bananas.,Sue,bananas,1,Sue,1,Sue,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns3_item7,ns3_item7,4,Sam only gave Bill apples.,Bill,apples,2,apples,2,apples,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns2_item5,ns2_item5,5,Sam only gave Bill bananas.,Bill,bananas,2,bananas,2,bananas,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns2_item2,ns2_item2,6,Sam only gave Bill bananas.,Bill,bananas,1,Bill,1,Bill,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns3_item1,ns3_item1,7,Sam only gave Mary apples.,Mary,apples,2,apples,2,apples,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns2_item3,ns2_item3,8,Sam only gave Ellen oranges.,Ellen,oranges,2,oranges,2,oranges,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns2_item6,ns2_item6,9,Sam only gave Ellen bananas.,Ellen,bananas,1,Ellen,1,Ellen,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns3_item0,ns3_item0,10,Sam only gave Rob bananas.,Rob,bananas,1,Rob,1,Rob,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns1_item1,ns1_item1,11,Sam only gave Sue oranges.,Sue,oranges,2,oranges,2,oranges,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns2_item4,ns2_item4,12,Sam only gave Tom apples.,Tom,apples,1,Tom,1,Tom,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns3_item5,ns3_item5,13,Sam only gave Tom bananas.,Tom,bananas,2,bananas,2,bananas,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns1_item6,ns1_item6,14,Sam only gave Rob oranges.,Rob,oranges,2,oranges,2,oranges,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns2_item1,ns2_item1,15,Sam only gave Ellen grapes.,Ellen,grapes,2,grapes,2,grapes,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns1_item2,ns1_item2,16,Sam only gave Rob grapes.,Rob,grapes,1,Rob,1,Rob,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns3_item6,ns3_item6,17,Sam only gave Sue apples.,Sue,apples,1,Sue,1,Sue,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns1_item4,ns1_item4,18,Sam only gave Ellen bananas.,Ellen,bananas,2,bananas,2,bananas,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns3_item3,ns3_item3,19,Sam only gave Mary grapes.,Mary,grapes,2,grapes,2,grapes,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns1_item7,ns1_item7,20,Sam only gave Tom apples.,Tom,apples,1,Tom,1,Tom,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns2_item0,ns2_item0,21,Sam only gave Bill grapes.,Bill,grapes,1,Bill,1,Bill,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns1_item0,ns1_item0,22,Sam only gave Bill grapes.,Bill,grapes,1,Bill,1,Bill,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns1_item3,ns1_item3,23,Sam only gave Tom oranges.,Tom,oranges,2,oranges,2,oranges,1
9,0,100,128,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns3_item4,ns3_item4,24,Sam only gave Ellen apples.,Ellen,apples,1,Ellen,1,Ellen,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns2_item7,ns2_item7,1,Sam only gave Ellen grapes.,Ellen,grapes,2,grapes,2,grapes,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns1_item5,ns1_item5,2,Sam only gave Ellen grapes.,Ellen,grapes,1,Ellen,1,Ellen,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns3_item2,ns3_item2,3,Sam only gave Sue bananas.,Sue,bananas,1,Sue,1,Sue,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns3_item7,ns3_item7,4,Sam only gave Bill apples.,Bill,apples,2,apples,2,apples,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns2_item5,ns2_item5,5,Sam only gave Bill bananas.,Bill,bananas,2,bananas,2,bananas,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns2_item2,ns2_item2,6,Sam only gave Bill bananas.,Bill,bananas,1,Bill,1,Bill,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns3_item1,ns3_item1,7,Sam only gave Mary apples.,Mary,apples,2,apples,2,apples,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns2_item3,ns2_item3,8,Sam only gave Ellen oranges.,Ellen,oranges,2,oranges,2,oranges,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns2_item6,ns2_item6,9,Sam only gave Ellen bananas.,Ellen,bananas,1,Ellen,1,Ellen,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns3_item0,ns3_item0,10,Sam only gave Rob bananas.,Rob,bananas,1,Rob,1,Rob,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns1_item1,ns1_item1,11,Sam only gave Sue oranges.,Sue,oranges,2,oranges,2,oranges,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns2_item4,ns2_item4,12,Sam only gave Tom apples.,Tom,apples,1,Tom,1,Tom,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns3_item5,ns3_item5,13,Sam only gave Tom bananas.,Tom,bananas,2,bananas,2,bananas,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns1_item6,ns1_item6,14,Sam only gave Rob oranges.,Rob,oranges,2,oranges,2,oranges,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns2_item1,ns2_item1,15,Sam only gave Ellen grapes.,Ellen,grapes,2,grapes,2,grapes,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns1_item2,ns1_item2,16,Sam only gave Rob grapes.,Rob,grapes,1,Rob,1,Rob,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns3_item6,ns3_item6,17,Sam only gave Sue apples.,Sue,apples,1,Sue,1,Sue,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns1_item4,ns1_item4,18,Sam only gave Ellen bananas.,Ellen,bananas,2,bananas,2,bananas,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns3_item3,ns3_item3,19,Sam only gave Mary grapes.,Mary,grapes,2,grapes,2,grapes,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns1_item7,ns1_item7,20,Sam only gave Tom apples.,Tom,apples,1,Tom,1,Tom,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns2_item0,ns2_item0,21,Sam only gave Bill grapes.,Bill,grapes,1,Bill,1,Bill,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns1_item0,ns1_item0,22,Sam only gave Bill grapes.,Bill,grapes,1,Bill,1,Bill,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns1_item3,ns1_item3,23,Sam only gave Tom oranges.,Tom,oranges,2,oranges,2,oranges,1
10,0,100,243,1,anonymous,EN,1,1,1,1,1,speaker1,speaker1_ns3_item4,ns3_item4,24,Sam only gave Ellen apples.,Ellen,apples,1,Ellen,1,Ellen,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns2_item7,ns2_item7,1,Sam only gave Ellen grapes.,Ellen,grapes,2,grapes,2,grapes,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns1_item5,ns1_item5,2,Sam only gave Ellen grapes.,Ellen,grapes,1,Ellen,1,Ellen,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns3_item2,ns3_item2,3,Sam only gave Sue bananas.,Sue,bananas,1,Sue,1,Sue,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns3_item7,ns3_item7,4,Sam only gave Bill apples.,Bill,apples,2,apples,2,apples,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns2_item5,ns2_item5,5,Sam only gave Bill bananas.,Bill,bananas,2,bananas,2,bananas,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns2_item2,ns2_item2,6,Sam only gave Bill bananas.,Bill,bananas,1,Bill,1,Bill,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns3_item1,ns3_item1,7,Sam only gave Mary apples.,Mary,apples,2,apples,2,apples,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns2_item3,ns2_item3,8,Sam only gave Ellen oranges.,Ellen,oranges,2,oranges,2,oranges,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns2_item6,ns2_item6,9,Sam only gave Ellen bananas.,Ellen,bananas,1,Ellen,1,Ellen,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns3_item0,ns3_item0,10,Sam only gave Rob bananas.,Rob,bananas,1,Rob,1,Rob,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns1_item1,ns1_item1,11,Sam only gave Sue oranges.,Sue,oranges,2,oranges,2,oranges,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns2_item4,ns2_item4,12,Sam only gave Tom apples.,Tom,apples,1,Tom,1,Tom,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns3_item5,ns3_item5,13,Sam only gave Tom bananas.,Tom,bananas,2,bananas,2,bananas,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns1_item6,ns1_item6,14,Sam only gave Rob oranges.,Rob,oranges,2,oranges,2,oranges,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns2_item1,ns2_item1,15,Sam only gave Ellen grapes.,Ellen,grapes,2,grapes,2,grapes,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns1_item2,ns1_item2,16,Sam only gave Rob grapes.,Rob,grapes,1,Rob,1,Rob,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns3_item6,ns3_item6,17,Sam only gave Sue apples.,Sue,apples,1,Sue,1,Sue,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns1_item4,ns1_item4,18,Sam only gave Ellen bananas.,Ellen,bananas,2,bananas,2,bananas,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns3_item3,ns3_item3,19,Sam only gave Mary grapes.,Mary,grapes,2,grapes,2,grapes,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns1_item7,ns1_item7,20,Sam only gave Tom apples.,Tom,apples,1,Tom,1,Tom,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns2_item0,ns2_item0,21,Sam only gave Bill grapes.,Bill,grapes,1,Bill,1,Bill,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns1_item0,ns1_item0,22,Sam only gave Bill grapes.,Bill,grapes,1,Bill,1,Bill,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns1_item3,ns1_item3,23,Sam only gave Tom oranges.,Tom,oranges,2,oranges,2,oranges,1
16,0,100,180,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns3_item4,ns3_item4,24,Sam only gave Ellen apples.,Ellen,apples,1,Ellen,1,Ellen,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns2_item7,ns2_item7,1,Sam only gave Ellen grapes.,Ellen,grapes,2,grapes,2,grapes,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns1_item5,ns1_item5,2,Sam only gave Ellen grapes.,Ellen,grapes,1,Ellen,1,Ellen,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns3_item2,ns3_item2,3,Sam only gave Sue bananas.,Sue,bananas,1,Sue,1,Sue,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns3_item7,ns3_item7,4,Sam only gave Bill apples.,Bill,apples,2,apples,2,apples,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns2_item5,ns2_item5,5,Sam only gave Bill bananas.,Bill,bananas,2,bananas,2,bananas,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns2_item2,ns2_item2,6,Sam only gave Bill bananas.,Bill,bananas,1,Bill,1,Bill,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns3_item1,ns3_item1,7,Sam only gave Mary apples.,Mary,apples,2,apples,2,apples,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns2_item3,ns2_item3,8,Sam only gave Ellen oranges.,Ellen,oranges,2,oranges,2,oranges,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns2_item6,ns2_item6,9,Sam only gave Ellen bananas.,Ellen,bananas,1,Ellen,1,Ellen,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns3_item0,ns3_item0,10,Sam only gave Rob bananas.,Rob,bananas,1,Rob,1,Rob,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns1_item1,ns1_item1,11,Sam only gave Sue oranges.,Sue,oranges,2,oranges,2,oranges,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns2_item4,ns2_item4,12,Sam only gave Tom apples.,Tom,apples,1,Tom,1,Tom,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns3_item5,ns3_item5,13,Sam only gave Tom bananas.,Tom,bananas,2,bananas,2,bananas,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns1_item6,ns1_item6,14,Sam only gave Rob oranges.,Rob,oranges,2,oranges,2,oranges,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns2_item1,ns2_item1,15,Sam only gave Ellen grapes.,Ellen,grapes,2,grapes,2,grapes,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns1_item2,ns1_item2,16,Sam only gave Rob grapes.,Rob,grapes,1,Rob,1,Rob,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns3_item6,ns3_item6,17,Sam only gave Sue apples.,Sue,apples,1,Sue,1,Sue,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns1_item4,ns1_item4,18,Sam only gave Ellen bananas.,Ellen,bananas,2,bananas,2,bananas,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns3_item3,ns3_item3,19,Sam only gave Mary grapes.,Mary,grapes,2,grapes,2,grapes,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns1_item7,ns1_item7,20,Sam only gave Tom apples.,Tom,apples,1,Tom,1,Tom,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns2_item0,ns2_item0,21,Sam only gave Bill grapes.,Bill,grapes,1,Bill,1,Bill,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns1_item0,ns1_item0,22,Sam only gave Bill grapes.,Bill,grapes,1,Bill,1,Bill,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns1_item3,ns1_item3,23,Sam only gave Tom oranges.,Tom,oranges,2,oranges,2,oranges,1
18,0,100,194,1,anonymous,EN,1,1,1,1,2,speaker0,speaker0_ns3_item4,ns3_item4,24,Sam only gave Ellen apples.,Ellen,apples,1,Ellen,1,Ellen,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns2_item7,ns2_item7,1,Sam only gave Ellen grapes.,Ellen,grapes,2,grapes,2,grapes,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns1_item5,ns1_item5,2,Sam only gave Ellen grapes.,Ellen,grapes,1,Ellen,1,Ellen,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns3_item2,ns3_item2,3,Sam only gave Sue bananas.,Sue,bananas,1,Sue,1,Sue,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns3_item7,ns3_item7,4,Sam only gave Bill apples.,Bill,apples,2,apples,2,apples,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns2_item5,ns2_item5,5,Sam only gave Bill bananas.,Bill,bananas,2,bananas,2,bananas,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns2_item2,ns2_item2,6,Sam only gave Bill bananas.,Bill,bananas,1,Bill,1,Bill,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns3_item1,ns3_item1,7,Sam only gave Mary apples.,Mary,apples,2,apples,2,apples,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns2_item3,ns2_item3,8,Sam only gave Ellen oranges.,Ellen,oranges,2,oranges,2,oranges,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns2_item6,ns2_item6,9,Sam only gave Ellen bananas.,Ellen,bananas,1,Ellen,1,Ellen,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns3_item0,ns3_item0,10,Sam only gave Rob bananas.,Rob,bananas,1,Rob,1,Rob,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns1_item1,ns1_item1,11,Sam only gave Sue oranges.,Sue,oranges,2,oranges,2,oranges,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns2_item4,ns2_item4,12,Sam only gave Tom apples.,Tom,apples,1,Tom,1,Tom,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns3_item5,ns3_item5,13,Sam only gave Tom bananas.,Tom,bananas,2,bananas,2,bananas,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns1_item6,ns1_item6,14,Sam only gave Rob oranges.,Rob,oranges,2,oranges,2,oranges,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns2_item1,ns2_item1,15,Sam only gave Ellen grapes.,Ellen,grapes,2,grapes,2,grapes,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns1_item2,ns1_item2,16,Sam only gave Rob grapes.,Rob,grapes,1,Rob,1,Rob,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns3_item6,ns3_item6,17,Sam only gave Sue apples.,Sue,apples,1,Sue,1,Sue,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns1_item4,ns1_item4,18,Sam only gave Ellen bananas.,Ellen,bananas,2,bananas,2,bananas,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns3_item3,ns3_item3,19,Sam only gave Mary grapes.,Mary,grapes,2,grapes,2,grapes,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns1_item7,ns1_item7,20,Sam only gave Tom apples.,Tom,apples,1,Tom,1,Tom,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns2_item0,ns2_item0,21,Sam only gave Bill grapes.,Bill,grapes,1,Bill,1,Bill,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns1_item0,ns1_item0,22,Sam only gave Bill grapes.,Bill,grapes,1,Bill,1,Bill,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns1_item3,ns1_item3,23,Sam only gave Tom oranges.,Tom,oranges,2,oranges,2,oranges,1
22,0,100,222,1,anonymous,EN,1,1,1,1,2,speaker1,speaker1_ns3_item4,ns3_item4,24,Sam only gave Ellen apples.,Ellen,apples,1,Ellen,1,Ellen,1
